Czas (ms);;Koszt;;Odpad;
DCG;BF;DCG;BF;DCG;BF
136396;11;1830;2835;0;0
27688;2;1719;2342;304;13
190893;3;3279;3421;109;33
113044;2;1936;5397;69;20
14453;5;1821;2342;819;8
446814;1;2912;4254;3947;3
20758;3;4544;5050;1729;3
101468;2;3024;6658;54;1
272598;1;2324;2560;44;0
18424;1;2365;4001;877;64
284007;1;1802;4000;46;40
36820;6;3078;3255;393;115
25840;8;4068;6981;325;14
42254;16;948;1034;1480;102
4664;1;3174;3707;1434;1297
11725;3;1377;2904;46;2
34074;6;1161;1490;411;45
323568;7;3072;3638;81;1
124059;4;8128;8971;0;51
27697;1;830;3965;0;9
169184;2;2754;3255;0;18
227189;7;3184;5741;150;94
25436;5;1235;1850;35;21
232145;3;4485;4598;0;4
47524;2;2993;4046;1278;159
77913;2;5002;5196;23;10
201725;1;2366;3162;0;14
18760;2;5330;5398;64;12
